Country,Country Code,PIB
Japan,JPN,4394977752877.82
Kazakhstan,KAZ,184388432148.715
Kenya,KEN,64007751187.8874
Kyrgyz Republic,KGZ,6678178340.45121
Cambodia,KHM,18049954289.4229
Kiribati,KIR,171117872.436331
St. Kitts and Nevis,KNA,936314411.47037
"Korea, Rep.",KOR,1382764027113.82
Kuwait,KWT,114567298105.683
Lao PDR,LAO,14390391264.2607
Lebanon,LBN,49910270062.1559
Liberia,LBR,3177000000
Libya,LBY,27842131486.4054
St. Lucia,LCA,1622436703.7037
Liechtenstein,LIE,6268391521.19701
Sri Lanka,LKA,80604080688.7961
Lesotho,LSO,2510312804.76737
Lithuania,LTU,41508609232.7778
Luxembourg,LUX,57784495265.4378
Latvia,LVA,26972863393.6384
"Macao SAR, China",MAC,45361678146.5247
St. Martin (French part),MAF,
Morocco,MAR,101179808076.36
Monaco,MCO,6258178995.23123
Moldova,MDA,6512885830.43282
Madagascar,MDG,9744243531.20119
Maldives,MDV,4109424801.40835
Middle East & North Africa,MEA,3147153525197.42
Mexico,MEX,1170564619927.69
Marshall Islands,MHL,179697900
"Macedonia, FYR",MKD,10064515432.0265
Mali,MLI,13099495529.7113
Malta,MLT,10554669617.5194
Myanmar,MMR,59687410896.5734
Montenegro,MNE,4052913385.82677
Mongolia,MNG,11749620619.5962
Northern Mariana Islands,MNP,931000000
Mozambique,MOZ,14798413628.4625
Mauritania,MRT,4844223106.95469
Mauritius,MUS,11692287066.381
Malawi,MWI,6373212640.84604
Malaysia,MYS,296636282166.176
Namibia,NAM,11650656642.2655
New Caledonia,NCL,
Niger,NER,7217667780.59665
Nigeria,NGA,494583180777.234
Nicaragua,NIC,12611087031.4931
Netherlands,NLD,757999453314.269
Norway,NOR,386663139402.707
Nepal,NPL,21410840908.5198
Nauru,NRU,100459782.608696
New Zealand,NZL,177620948761.31
Oman,OMN,68905071521.4564
Pakistan,PAK,270556126820.064
Panama,PAN,54091713775.5634
Peru,PER,189926516769.25
Philippines,PHL,292774099013.687
Palau,PLW,293124000
Papua New Guinea,PNG,20638636035.255
Poland,POL,476970902628.578
Puerto Rico,PRI,103375500000
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,199420256049.689
Paraguay,PRY,36164068797.2511
West Bank and Gaza,PSE,12673000000
French Polynesia,PYF,
Qatar,QAT,161739835164.835
Romania,ROU,177893451831.141
Russian Federation,RUS,1368400705490.7
Rwanda,RWA,8277613193.57631
South Asia,SAS,2696116882251.6
Saudi Arabia,SAU,654269902880
Sudan,SDN,97156119150
Senegal,SEN,17767620058.8554
Singapore,SGP,304097759674.134
Solomon Islands,SLB,1154650068.85921
Sierra Leone,SLE,4218723875.1379
El Salvador,SLV,23166030400
San Marino,SMR,1523012088.2777
Somalia,SOM,6659000748.05936
Serbia,SRB,37160332465.1645
South Sudan,SSD,10906867789.8878
Small states,SST,450032756389.494
Sao Tome and Principe,STP,315521531.954768
Suriname,SUR,4767414747.88691
Slovak Republic,SVK,87501423882.4686
Slovenia,SVN,43072415017.4321
Sweden,SWE,497918109302.399
Eswatini,SWZ,4020275298.02726
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1377492465.56086
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,10945989471.6286
Togo,TGO,4179185205.16122
Thailand,THA,401399422442.967
Tajikistan,TJK,7854602391.65355
Turkmenistan,TKM,35799714285.7143
Timor-Leste,TLS,3104400000
Tonga,TON,435438217.281663
Trinidad and Tobago,TTO,24401734194.6814
Tunisia,TUN,43152528548.124
Turkey,TUR,859796691176.471
Tuvalu,TUV,35556038.8176495
Tanzania,TZA,45628320355.1735
Uganda,UGA,27102650386.6012
Ukraine,UKR,91030959454.6961
Uruguay,URY,53274304222.136
United States,USA,18120714000000
Uzbekistan,UZB,66903804142.5395
St. Vincent and the Grenadines,VCT,755458031.415067
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,3759000000
Vietnam,VNM,193241108709.536
Vanuatu,VUT,737917151.424178
Samoa,WSM,804100582.465624
Kosovo,XKX,6440612176.999
"Yemen, Rep.",YEM,45593573381.2648
South Africa,ZAF,317536830640.619
Zambia,ZMB,21154394545.895
Zimbabwe,ZWE,19963120600
